"Text Editing","Text Start","Esc Shift+<","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"gazonk.del","Copy","Esc W","In Console View"
"Text Editing","Uppercase","Alt+U","Editing Text"
"Window","Show System Menu","Alt+-","In Windows"
"Task","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Text Editing","Keyboard Quit","Ctrl+G","Editing Text"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"C/C++ Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"Text Editing","Pop Tag Mark","Esc *","Editing Text"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Task","New Local Task","Insert","In Tasks View"
"Window","Switch to Editor","Ctrl+X Ctrl+B","In Windows"
"Text Editing","Universal Argument","Alt+0","Editing Text"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"File","New","Ctrl+N","In Windows"
"Edit","Incremental Find Reverse","Ctrl+R","Editing Text"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"Text Editing","Name Last Kbd Macro","Ctrl+X Ctrl+K N","Editing Text"
"Text Editing","Zap to Char","Esc Z","In Windows"
"Edit","Paste","Ctrl+Y","In Dialogs and Windows"
"Text Editing","Describe Key","Ctrl+H K","Editing Text"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Text Editing","Backward Word","Alt+B","Editing Text"
"Navigate","Backward History","Shift+Alt+9","In Windows"
"Text Editing","Toggle Allow Edit","Ctrl+X Ctrl+Q","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Task","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Text Editing","Universal Argument","Ctrl+U","Editing Text"
"Text Editing","Point to Register","Ctrl+X /","Editing Text"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Edit","Redo","F10","In Windows"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Text Editing","Universal Argument","Ctrl+Alt+2","Editing Text"
"Text Editing","End Line","Shift+End","Editing Text"
"Task","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Text Editing","Kbd Macro End","Ctrl+X )","Editing Text"
"Edit","Find and Replace","Esc R","In Windows"
"Text Editing","Describe Bindings","Ctrl+H B","Editing Text"
"Text Editing","Universal Argument","Ctrl+0","Editing Text"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Text Editing","Next Line","Down","Editing Text"
"Text Editing","Where Is Command","Ctrl+H W","Editing Text"
"Text Editing","Line Start","Ctrl+A","Editing Text"
"Text Editing","Previous Line","Up","Editing Text"
"Edit","Backward Kill Sexp","Ctrl+Alt+Backspace","Editing Text"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Terminal view commands","Terminal view insert","Alt+G","Terminal widget context"
"Text Editing","Scroll Down","Shift+Alt+V","Editing Text"
"Text Editing","Count Lines Region","Alt+=","Editing Text"
"Text Editing","Mark Whole Buffer","Ctrl+X H","Editing Text"
"Text Editing","End Buffer","Alt+>","Editing Text"
"Navigate","Backward History","Ctrl+X Left","In Windows"
"Text Editing","End Buffer","Shift+Alt+.","Editing Text"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"C/C++ Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Window","Next Editor","Ctrl+Tab","In Windows"
"Text Editing","Universal Argument","Alt+6","Editing Text"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Text Editing","Delete Blank Lines","Ctrl+X Ctrl+O","Editing Text"
"C/C++ Source","Find Declaration","Ctrl+G","In C/C++ Views"
"Text Editing","Backward Character","Ctrl+B","Editing Text"
"Text Editing","Kbd Macro Start","F3","Editing Text"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Task","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Text Editing","Text End","Esc Shift+>","Editing Text"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Text Editing","Emacs+ News","Ctrl+H N","Editing Text"
"Text Editing","Increment Register","Ctrl+X R +","Editing Text"
"Text Editing","Describe Help Commands","Ctrl+H ?","Editing Text"
"gazonk.del","Kill Line","Ctrl+K","In Console View"
"Terminal view commands","Terminal view insert","Alt+R","Terminal widget context"
"Search","Open Search Dialog","Ctrl+H S","In Windows"
"File","Close","Shift+Ctrl+W","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Text Editing","Lowercase","Alt+L","Editing Text"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Text Editing","Apply Macro To Region Lines","Ctrl+X Ctrl+K R","Editing Text"
"Terminal view commands","Terminal view insert","Alt+H","Terminal widget context"
"Edit","Find Next","Ctrl+K","Editing Text"
"Navigate","Next","Ctrl+.","In Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"C/C++ Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Text Editing","Yank","Ctrl+Y","Editing Text"
"Terminal view commands","Terminal view insert","Alt+S","Terminal widget context"
"Text Editing","Text Start","Alt+<","Editing Text"
"Window","Next Editor","Ctrl+Alt+L","In Windows"
"C/C++ Source","Open Declaration","Alt+.","C/C++ Editor"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Text Editing","Pop Global Mark","Ctrl+X Ctrl+Space","Editing Text"
"Edit","Transpose Words","Alt+T","Editing Text"
"Text Editing","Indent Rigidly","Ctrl+X Tab","Editing Text"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Text Editing","Backward Word","Esc B","Editing Text"
"Text Editing","Text End","Alt+>","Editing Text"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Text Editing","Kill Rectangle","Ctrl+X R K","Editing Text"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Text End","Esc >","Editing Text"
"C/C++ Source","Quick Type Hierarchy","Ctrl+[","C/C++ Editor"
"Text Editing","Text Start","Ctrl+X [","Editing Text"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Text Editing","Cut to Beginning of Line","Esc 0 Ctrl+K","Editing Text"
"File","Close All","Ctrl+X Ctrl+C","In Windows"
"Text Editing","Line Up","Ctrl+P","Editing Text"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Run/Debug","Step Over","Ctrl+X Ctrl+A Ctrl+N","Debugging"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Text Editing","Execute Extended Command","Alt+X","Editing Text"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Text Editing","Forward Character","Ctrl+F","Editing Text"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Text Editing","Begin Buffer","Shift+Alt+,","Editing Text"
"Task","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Edit","Incremental Find","Ctrl+S","Editing Text"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"C/C++ Source","Comment/Uncomment","Alt+;","C/C++ Editor"
"Text Editing","Scroll Other Window","Alt+PageDown","Editing Text"
"Text Editing","End Line","End","Editing Text"
"Text Editing","Backward Up List","Ctrl+Alt+U","Editing Text"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Edit","Delete","Delete","In Windows"
"Edit","Context Information","Alt+?","In Windows"
"Text Editing","Universal Argument","Ctrl+6","Editing Text"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Text Editing","Split Line","Ctrl+Alt+O","Editing Text"
"Text Editing","Search in Project","Alt+S","Editing Text"
"Run/Debug","Step Into","Ctrl+X Ctrl+A Ctrl+S","Debugging"
"Edit","Kill Sexp","Ctrl+Alt+K","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"Text Editing","Cut to End of Line","Ctrl+K","Editing Text"
"Source","Show Tooltip Description","F2","Autoconf Editor"
"C/C++ Source","Open Declaration","Esc .","C/C++ Editor"
"Text Editing","Previous Word","Alt+B","Editing Text"
"Terminal view commands","Terminal view insert","Alt+V","Terminal widget context"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Edit","Undo","Ctrl+/","In Windows"
"C/C++ Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Text Editing","Universal Argument","Ctrl+-","Editing Text"
"Text Editing","Delete Next Word","Alt+D","Editing Text"
"Text Editing","Jump to Register","Ctrl+X R J","Editing Text"
"Text Editing","Undo+","Ctrl+X U","Editing Text"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Text Editing","Kbd Macro Start","Ctrl+X (","In Windows"
"gazonk.del","Delete Char","Ctrl+D","In Console View"
"Edit","Cut","Ctrl+W","In Dialogs and Windows"
"Text Editing","Text Start","Shift+Alt+<","Editing Text"
"File","Close","Ctrl+X K","In Windows"
"Text Editing","Switch to Buffer","Ctrl+X B","In Windows"
"Text Editing","Back To Indent","Alt+M","Editing Text"
"gazonk.del","Delete Next Word","Esc D","In Console View"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Project","Build All","Shift+Ctrl+B","In Windows"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Text Editing","Delete Indentation","Shift+Alt+6","Editing Text"
"Edit","Word Completion","Alt+/","Editing Text"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Text Editing","Line Start","Home","Editing Text"
"Run/Debug","Step Return","Ctrl+X Ctrl+A Ctrl+F","Debugging"
"Text Editing","Scroll Line Up","Alt+Z","Editing Text"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Text Editing","Scroll Other Window Down","Alt+PageUp","Editing Text"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Text Editing","Next Column","Ctrl+F","Editing Text"
"Text Editing","Mark Word","Alt+@","Editing Text"
"C/C++ Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Text Editing","Universal Argument","Alt+8","Editing Text"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Text Editing","Universal Argument","Ctrl+9","Editing Text"
"Run/Debug","Debug","F11","In Windows"
"Text Editing","Begin Line","Home","Editing Text"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Text Editing","Page Up","Alt+V","Editing Text"
"C/C++ Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Edit","Backward Sexp","Alt+Left","Editing Text"
"gazonk.del","Kill Line","Ctrl+K","Editing Text"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"File","Save All","Ctrl+X S","In Windows"
"Edit","Undo","F9","In Windows"
"Text Editing","Text End","Ctrl+X ]","Editing Text"
"Text Editing","Pop Tag Mark","Esc Shift+8","Editing Text"
"Terminal view commands","Terminal view insert","Alt+W","Terminal widget context"
"Text Editing","Number to Register","Ctrl+X R N","Editing Text"
"Text Editing","Pop Tag Mark","Alt+*","Editing Text"
"Text Editing","Clear Mark","Ctrl+G","Editing Text"
"Text Editing","Previous Word","Esc B","Editing Text"
"gazonk.del","Copy","Alt+W","In Console View"
"Text Editing","Universal Argument","Ctrl+Alt+1","Editing Text"
"Text Editing","Swap Mark","Ctrl+X Ctrl+X","Editing Text"
"Text Editing","Jump to Register","Ctrl+X J","Editing Text"
"Text Editing","Insert Register","Ctrl+X G","Editing Text"
"Edit","Redo","Shift+Ctrl++","In Windows"
"Text Editing","Kbd Macro Cycle Ring Next","Ctrl+X Ctrl+K Ctrl+N","Editing Text"
"Text Editing","Begin Buffer","Esc <","Editing Text"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Text Editing","Down List","Ctrl+Alt+D","Editing Text"
"File","Save","Ctrl+X Ctrl+S","In Windows"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Text Editing","Begin Line","Ctrl+A","Editing Text"
"Text Editing","Page Up","Esc V","Editing Text"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Text Editing","Join Other Windows","Ctrl+X 1","In Windows"
"Text Editing","Universal Argument","Ctrl+Alt+3","Editing Text"
"Text Editing","Mark Sexp","Ctrl+Alt+Space","Editing Text"
"Text Editing","Goto Line","Alt+G","Editing Text"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Project","Rebuild Last Target","F9","In Windows"
"File","Print","Esc F9","In Windows"
"Text Editing","Universal Argument","Ctrl+4","Editing Text"
"Text Editing","Kbd Macro End or Call","F4","Editing Text"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"C/C++ Source","Toggle Source/Header","Shift+Ctrl+H","C/C++ Editor"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Task","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Text Editing","Text End","Shift+Alt+>","Editing Text"
"Terminal view commands","Terminal view insert","Alt+E","Terminal widget context"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Text Editing","What Cursor Position","Ctrl+X =","Editing Text"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Text Editing","Delete Next","Ctrl+D","Editing Text"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Terminal view commands","Terminal view insert","Alt+T","Terminal widget context"
"Text Editing","Begin Buffer","Esc Shift+,","Editing Text"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Text Editing","Universal Argument","Alt+7","Editing Text"
"Text Editing","Kbd Macro Cycle Ring Previous","Ctrl+X Ctrl+K Ctrl+P","Editing Text"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Run/Debug","Toggle Breakpoint","Ctrl+X Space","In Windows"
"Text Editing","Recenter","Ctrl+L","Editing Text"
"Run/Debug","Run","Ctrl+F11","In Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Text Editing","Undo+","Ctrl+/","Editing Text"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Text Editing","Replace Rectangle","Ctrl+X R T","Editing Text"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Text Editing","Scroll Up","Shift+Ctrl+V","Editing Text"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Text Editing","Universal Argument","Ctrl+Alt+5","Editing Text"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Text Editing","Exchange Point and Mark","Ctrl+X Ctrl+X","Editing Text"
"Text Editing","Append Next Kill","Ctrl+Alt+W","Editing Text"
"Text Editing","End Line","Shift+Ctrl+E","Editing Text"
"Edit","Undo","Shift+Ctrl+-","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Text Editing","Delete Horizontal Space","Alt+\","Editing Text"
"Text Editing","Delete Next Word","Esc D","Editing Text"
"Text Editing","Line End","End","Editing Text"
"Text Editing","Universal Argument","Alt+5","Editing Text"
"Task","Open Selected Task","Ctrl+Enter","In Tasks View"
"Text Editing","Yank Pop","Alt+Y","Editing Text"
"Text Editing","Regexp I-Search forward","Ctrl+Alt+S","Editing Text"
"WikiText Markup Editing Commands","Display Cheat Sheet","F1","WikiText Markup Source Context"
"Text Editing","Begin Buffer","Alt+<","Editing Text"
"Text Editing","Apropos Command","Ctrl+H A","Editing Text"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Text Editing","Backward Up List","Ctrl+Alt+Up","Editing Text"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"File","Refresh","F5","In Windows"
"C/C++ Source","Find Declaration","Ctrl+G","C/C++ Editor"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"Text Editing","Next Word","Alt+F","Editing Text"
"Text Editing","Scroll Down","Esc Shift+V","Editing Text"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"gazonk.del","Delete Previous Word","Alt+Backspace","In Console View"
"Text Editing","Universal Argument","Ctrl+8","Editing Text"
"Text Editing","I-Search backward","Ctrl+R","Editing Text"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Text Editing","Widen","Ctrl+X N W","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+7","Editing Text"
"Text Editing","Copy to Register","Ctrl+X R S","Editing Text"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Text Editing","Recenter Other Window","Alt+Insert","Editing Text"
"Text Editing","Yank Pop","Esc Y","Editing Text"
"Edit","Forward Sexp","Shift+Ctrl+Alt+F","Editing Text"
"Text Editing","Next Word","Esc F","Editing Text"
"Text Editing","Forward Word","Ctrl+Right","Editing Text"
"Navigate","Forward History","Ctrl+X Right","In Windows"
"Window","Previous Editor","Shift+Ctrl+Tab","In Windows"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Text Editing","Rotate Yank Pointer","Ctrl+Alt+Y","Editing Text"
"Navigate","Forward History","Ctrl+X Ctrl+Right","In Windows"
"Text Editing","Describe Key Briefly","Ctrl+H C","Editing Text"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
